,CP_1,CP_10,CP_2,CP_3,CP_4,CP_5,CP_6,CP_7,CP_8,CP_9,NP_1,NP_10,NP_2,NP_3,NP_4,NP_5,NP_6,NP_7,NP_8,NP_9,A_1,A_10,A_2,A_3,A_4,A_5,A_6,A_7,A_8,A_9,FC_1,FC_10,FC_2,FC_3,FC_4,FC_5,FC_6,FC_7,FC_8,FC_9,AC_1,AC_10,AC_2,AC_3,AC_4,AC_5,AC_6,AC_7,AC_8,AC_9,sum_cp,sum_np,sum_a,sum_fc,sum_ac
15758,5,5,1,5,5,2,1,2,1,1,5,4,4,5,5,5,5,3,2,2,5,5,5,5,4,4,2,5,4,4,5,2,5,4,3,2,3,3,2,4,5,2,5,4,4,3,2,1,5,3,28,40,43,33,34
15896,2,4,2,4,5,3,3,3,5,1,3,3,3,2,3,3,3,3,5,5,3,4,4,3,3,4,3,4,3,3,4,1,4,3,1,2,4,1,1,4,3,1,3,3,4,3,1,1,2,1,32,33,34,25,22
16207,3,5,2,4,4,3,1,2,1,2,5,4,4,4,4,4,4,3,2,4,3,4,4,4,5,5,4,4,4,4,3,4,2,3,2,3,3,2,2,3,4,4,4,3,4,4,3,1,4,3,27,38,41,27,34
16458,4,4,3,5,4,4,2,4,1,3,4,4,4,4,3,4,4,4,2,4,4,4,4,4,3,4,3,4,4,4,4,3,4,4,2,2,3,3,2,3,4,2,3,4,4,4,2,2,3,2,34,37,38,30,30
16522,3,4,3,5,4,3,2,3,1,3,3,3,2,2,4,3,3,3,2,3,4,3,4,3,4,3,4,4,3,4,4,1,2,3,2,1,4,2,3,2,3,2,3,4,4,4,3,2,3,2,31,28,36,24,30
16655,5,5,1,5,5,1,1,4,1,4,5,5,5,5,1,5,5,1,1,5,5,5,5,5,2,5,5,5,3,5,5,1,5,5,1,1,4,1,1,3,3,3,1,3,3,5,1,1,3,1,32,38,45,27,24
16933,2,5,4,5,5,1,4,3,1,4,4,4,4,3,4,3,4,4,1,5,4,4,2,4,4,4,3,4,4,5,4,1,3,4,2,3,4,1,1,4,4,1,4,5,5,4,1,1,2,1,34,36,38,27,28
16918,2,4,2,4,5,1,1,4,1,1,4,3,4,4,3,4,4,3,2,4,4,3,2,4,2,4,4,4,4,4,4,2,2,2,2,2,4,3,1,1,3,2,1,4,4,4,4,1,4,4,25,35,35,23,31
16962,3,4,3,4,5,4,2,4,2,3,3,3,4,3,4,4,4,3,2,3,4,4,4,4,3,4,4,4,3,3,4,2,3,3,2,2,3,3,2,3,4,3,3,4,4,4,3,2,4,2,34,33,37,27,33
17159,3,5,2,4,4,2,1,2,1,2,5,5,4,3,5,4,4,4,2,4,3,3,4,1,2,3,3,4,3,4,4,2,5,3,2,3,3,3,2,2,3,2,4,3,3,4,3,2,3,1,26,40,30,29,28
17568,3,4,3,4,4,3,3,4,2,3,3,2,4,3,5,4,4,4,2,4,4,3,4,4,4,3,2,4,3,4,4,4,3,4,2,4,3,4,2,3,4,3,4,4,4,4,2,2,4,4,33,35,35,33,35
18141,2,4,3,4,3,4,3,3,3,3,3,4,3,2,3,4,3,4,3,4,3,3,4,3,4,4,4,4,4,3,4,3,5,4,3,3,4,3,3,4,5,4,4,3,4,4,4,4,4,4,32,33,36,36,40
18796,3,3,3,4,4,3,3,3,3,2,3,3,4,3,3,3,4,3,4,3,4,3,3,3,3,3,3,3,3,3,4,2,3,3,3,3,3,3,3,3,4,2,3,2,3,3,3,2,3,2,31,33,31,30,27
20367,4,4,2,4,4,4,3,3,1,2,4,4,3,3,3,4,4,3,3,3,3,4,4,4,3,4,3,4,4,4,4,3,4,4,3,3,4,3,3,3,3,2,3,3,3,4,3,2,3,2,31,34,37,34,28
